"number","map_index","status","reason","category","kor_name","english_name","region","latitude","longitude"
"1","5","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","무희 세트","Dancer's Set","dlc","-175.59375","109.85558068978835"
"2","7","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","죽음 기사 세트 - 어둠빛 지하 묘지","Death Knight Set - Darklight Catacombs","dlc","-140.5703125","139.60533166354415"
"3","14","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","프레이야 세트 - 에니르 일림","Freyja's Set - Enir-Ilim","dlc","-140.77226567268372","96.14474063474096"
"4","23","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","대사제 세트","High Priest Set","dlc","-131.8359375","137.54269886104004"
"5","25","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","뿔인간 세트","Hornsent Set","dlc","-125.53789067268372","97.51189991469694"
"6","26","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","에이곤 세트","Igon's Set","dlc","-163.78125","146.12876224911588"
"7","28","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","철 못 세트","Iron Rivet Set","dlc","-132.19010412693024","113.29296875"
"8","36","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","밤 세트 - 보니의 감옥","Night Set - Bonny Gaol","dlc","-143.89322912693024","132.17578125"
"9","37","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","서약기사 세트","Oathseeker Knight Set","dlc","-162.7109375","110.95727829121734"
"10","39","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","나찰 세트","Rakshasa Set","dlc","-136.05729150772095","140.55078125"
"11","41","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","고립 감옥 세트","Solitude Set","dlc","-154.6640625","107.09758616619452"
"12","43","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","티에리에 세트 - 에니르 일림","Thiollier's Set - Enir-Ilim","dlc","-136.953125","95.58945391039116"
"13","44","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","녹청 세트 - 에니르 일림","Verdigris Set - Enir-Ilim","dlc","-141.30351567268372","96.2540313720743"
"32","70","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","화살 x10","Arrow x10","dlc","-160.2109375","119.49692626462256"
"33","71","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","화살 x10","Arrow x10","dlc","-137.1484375","118.03539472331384"
"34","72","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","화살 x10","Arrow x10","dlc","-130.078125","107.73079147436484"
"35","73","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","화살 x10 - 벨라트 탑의 도시","Arrow x10 - Belurat Tower Settlement","dlc","-141.078125","101.9337708455812"
"36","74","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","발리스타 볼트 x5","Ballista Bolt x5","dlc","-142.4375","113.30083871527303"
"39","82","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","볼트 x10","Bolt x10","dlc","-136.0078125","117.49627367597331"
"40","83","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","볼트 x10 - 보니의 감옥","Bolt x10 - Bonny Gaol","dlc","-142.328125","131.98866823364102"
"41","84","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","볼트 x5","Bolt x5","dlc","-118.88541662693024","116.48046875"
"42","85","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","뼈 투척 나이프 x8","Bone Dart x8","dlc","-119.3125","127.01935703596234"
"43","106","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","이성의 환약 x2","Clarifying Boluses x2","dlc","-155.296875","149.4103621850305"
"44","107","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","이성의 환약 x3","Clarifying Boluses x3","dlc","-153.125","134.25641496164994"
"45","108","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","얼룩진 흰 육포 x2 - 전갈 강 지하 묘지","Dappled White Cured Meat x2 - Scorpion River Catacombs","dlc","-123.03789067268372","98.51973626262146"
"50","127","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","불화살 x10","Fire Arrow x10","dlc","-133.4609375","115.41040900315299"
"51","128","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","불화살 x10 - 에니르 일림","Fire Arrow x10 - Enir-Ilim","dlc","-135.6953125","95.94136651564764"
"55","155","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","황금 볼트 x10 - 에니르 일림","Golden Bolt x10 - Enir-Ilim","dlc","-135.7109375","95.44129815547154"
"57","165","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","대형 화살 x10","Great Arrow x10","dlc","-157.6171875","107.48836550105099"
"60","176","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","쿠크리 x5","Kukri x5","dlc","-137.6171875","132.6068224787516"
"61","177","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","쿠크리 x6","Kukri x6","dlc","-117.8046875","131.85567866363553"
"62","178","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","쿠크리 x6","Kukri x6","dlc","-131.33619797229767","102.42637935591077"
"64","183","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","군주군의 볼트 - 에니르 일림","Lordsworn's Bolt - Enir-Ilim","dlc","-138.13164067268372","96.4806753524831"
"67","195","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","독 투척 뼈화살 x8 - 벨라트 탑의 도시","Poisonbone Dart x8 - Belurat Tower Settlement","dlc","-144.82291662693024","98.65234375"
"69","198","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","라우프 벌레","Rauh Burrow","dlc","-123.671875","118.27753652782854"
"70","201","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","회춘의 환약 x2 - 전갈 강 지하 묘지","Rejuvenating Boluses x2 - Scorpion River Catacombs","dlc","-127.07291662693024","100.43359375"
"71","202","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","회춘의 환약 x3 - 전갈 강 지하 묘지","Rejuvenating Boluses x3 - Scorpion River Catacombs","dlc","-124.2265625","98.4964036225096"
"73","215","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","신혈의 살점 x5","Sacred Flesh x5","dlc","-119.3125","115.92572127467557"
"74","218","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","뱀 화살 x8 - 벨라트 탑의 도시","Serpent Arrow x8 - Belurat Tower Settlement","dlc","-140.8671875","96.94933816668262"
"76","273","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","트리나의 화살 x10 - 석관의 대구멍","St. Trina's Arrow x10 - Stone Coffin Fissure","dlc","-190.0703125","119.86351922886303"
"77","279","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","격앙의 이끼약 x1 - 벨라트 탑의 도시","Stimulating Boluses x1 - Belurat Tower Settlement","dlc","-141.8125","99.74626764119795"
"82","295","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","""침입"" 그림","""Incursion"" Painting","dlc","-161.5078125","111.09039209582343"
"83","296","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","""성스러운 탑"" 그림","""The Sacred Tower"" Painting","dlc","-151.9453125","118.30104913644007"
"84","299","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","옛 유적의 십자 메시지","Ancient Ruins Cross Message","dlc","-121.51588547229767","108.80886712667177"
"85","307","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","성의 십자 메시지","Castle Cross Message","dlc","-136.53125","118.35585287767319"
"86","308","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","용의 경계 그림","Domain of Dragons Painting","dlc","-120.28125","128.55860945782308"
